12:15:13.025 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - testng
12:15:13.025 [ApplicationImpl pooled thread 96] INFO  com.browserstack.utils.Helpers - null
12:15:13.026 [ApplicationImpl pooled thread 96] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:17:17.906 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - testng
12:17:17.906 [ApplicationImpl pooled thread 102] INFO  com.browserstack.utils.Helpers - null
12:17:17.908 [ApplicationImpl pooled thread 102] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:17:42.747 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - testng
12:17:42.747 [ApplicationImpl pooled thread 94] INFO  com.browserstack.utils.Helpers - null
12:17:42.748 [ApplicationImpl pooled thread 94] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:21:48.001 [ApplicationImpl pooled thread 114] INFO  c.b.l.BrowserStackRunExtension - testng
12:21:48.001 [ApplicationImpl pooled thread 114] INFO  com.browserstack.utils.Helpers - null
12:21:48.002 [ApplicationImpl pooled thread 114] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:30:59.115 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - testng
12:30:59.115 [ApplicationImpl pooled thread 120] INFO  com.browserstack.utils.Helpers - null
12:30:59.115 [ApplicationImpl pooled thread 120] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:31:43.852 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - testng
12:31:43.852 [ApplicationImpl pooled thread 104] INFO  com.browserstack.utils.Helpers - null
12:31:43.852 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:32:24.559 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - testng
12:32:24.559 [ApplicationImpl pooled thread 104] INFO  com.browserstack.utils.Helpers - null
12:32:24.560 [ApplicationImpl pooled thread 104] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:33:09.289 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - testng
12:33:09.289 [ApplicationImpl pooled thread 118] INFO  com.browserstack.utils.Helpers - null
12:33:09.291 [ApplicationImpl pooled thread 118] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:37:35.724 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - testng
12:37:35.724 [ApplicationImpl pooled thread 121] INFO  com.browserstack.utils.Helpers - null
12:37:35.726 [ApplicationImpl pooled thread 121] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:38:30.593 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - testng
12:38:30.593 [ApplicationImpl pooled thread 123] INFO  com.browserstack.utils.Helpers - null
12:38:30.594 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:41:53.588 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
12:41:53.588 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
12:41:53.590 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:42:05.680 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - testng
12:42:05.680 [ApplicationImpl pooled thread 117] INFO  com.browserstack.utils.Helpers - null
12:42:05.681 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:43:02.215 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - testng
12:43:02.215 [ApplicationImpl pooled thread 122] INFO  com.browserstack.utils.Helpers - null
12:43:02.217 [ApplicationImpl pooled thread 122] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:44:03.540 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:44:03.540 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:44:03.541 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:45:44.968 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - testng
12:45:44.968 [ApplicationImpl pooled thread 117] INFO  com.browserstack.utils.Helpers - null
12:45:44.968 [ApplicationImpl pooled thread 117] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:47:09.188 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - testng
12:47:09.188 [ApplicationImpl pooled thread 127] INFO  com.browserstack.utils.Helpers - null
12:47:09.188 [ApplicationImpl pooled thread 127] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:13.944 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:48:13.944 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:48:13.944 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:48:53.594 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - testng
12:48:53.595 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
12:48:53.597 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:49:08.249 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:49:08.249 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:49:08.250 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:50:06.084 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:50:06.084 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:50:06.085 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:50:31.023 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
12:50:31.023 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
12:50:31.025 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:50:45.791 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - testng
12:50:45.791 [ApplicationImpl pooled thread 124] INFO  com.browserstack.utils.Helpers - null
12:50:45.792 [ApplicationImpl pooled thread 124] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:51:39.401 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - testng
12:51:39.401 [ApplicationImpl pooled thread 123] INFO  com.browserstack.utils.Helpers - null
12:51:39.403 [ApplicationImpl pooled thread 123] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:52:39.351 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:52:39.351 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:52:39.353 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:52:49.764 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - testng
12:52:49.764 [ApplicationImpl pooled thread 116] INFO  com.browserstack.utils.Helpers - null
12:52:49.764 [ApplicationImpl pooled thread 116] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
12:53:10.288 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - testng
12:53:10.288 [ApplicationImpl pooled thread 131] INFO  com.browserstack.utils.Helpers - null
12:53:10.289 [ApplicationImpl pooled thread 131] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
